growth_form,species_id,scientific_name,common_name
tree,TMorAlb,Morus alba,Mulberry Tree / White Mulberry
grass,RMuhRig,Muhlenbergia rigens,Deer Grass
shrub,Smus,Musa,Banana Plant
groundcover,GMyoPar,Myoporum parvifolium,Myoporum
cacti_succulent,CMyrGeo,Myrtillocactus geometrizans,Blue Myrtle Cactus
shrub,SMyrCom,Myrtus communis,common myrtle
shrub,SMyrComBoe,Myrtus communis Boetica,Twisted Myrtle
shrub,SNanDom,Nandina domestica,Heavenly Bamboo
shrub,SNerOle,Nerium oleander,Oleander
grass,RNolMic,Nolina microcarpa,Bear Grass
flower_herbaceous,FOciBas,Ocimum basilicum,Basil
shrub,SOciBas,Ocimum basilicum,African Basil
flower_herbaceous,FOen,Oenothera,Evening Primrose
tree,TOleEur,Olea europaea,European Olive Tree
tree,TOlnTes,Olneya tesota,Desert (AZ) Ironwood
cacti_succulent,COpu,Opuntia,Prickly pear cactus 
cacti_succulent,COpuAca,Opuntia acanthocarpa,Buckhon Cholla
cacti_succulent,COpuBas,Opuntia basilaris,Beavertail Prickly-pear
cacti_succulent,COpuBig,Opuntia bigelovii,Teddy-bear Cholla
cacti_succulent,COpuEng,Opuntia engalmanni,Engelmann's Prickly-pear
cacti_succulent,COpuFic,Opuntia ficus-indica,Indian Fig
cacti_succulent,COpuFul,Opuntia fulgida,Chain-fruit Cholla
cacti_succulent,COpuMicMon,Opuntia microdass f. monstrosus,Funny Bunny Prickly Pear Cactus
cacti_succulent,COpuStr,Opuntia stricta,Erect Pricklypear
cacti_succulent,COpuVer,Opuntia versicolor,staghorn cholla
cacti_succulent,COpuVioSR,Opuntia violacea var. santa-rita,Purple Prickly Pear
groundcover,GOriHer,Origanum heracieoticum,Greek Oregano
cacti_succulent,CPacMar,Pachycereus marginatus,Mexican Fencepost
cacti_succulent,CPacSch,Pachycereus schottii,Senita
cacti_succulent,CPacSchFM,pachycereus schottii f. monstrosus,Totem pole cactus
flower_herbaceous,FPapRho,Papaveraceae Papaver rhoeas,Shirley poppy
grass,RPenSet,Pennisetum setaceum ,Fountain Grass
